User ID,Vehicle Model,Battery Capacity (kWh),Charging Station Location,Charging Start Time,Charging End Time,Energy Consumed (kWh),Charging Duration (hours),Charging Rate (kW),Charging Cost (USD),State of Charge (Start %),State of Charge (End %),Distance Driven (since last charge) (km),Temperature (°C),Vehicle Age (years),Charger Type,User Type,Charging Duration,Charging Duration (Minutes),charging cost per min
User_979,Chevy Bolt,62.0,Houston,2024-02-10 18:00:00,2024-02-10 20:34:00,75.52338506958138,3.3269171700461,24.890919200595857,10.102581232719707,82.54484839850262,70.70118042446026,125.5393819263934,0.5816117003472154,2.0,DC Fast Charger,Long-Distance Traveler,0 days 02:34:00,154.0,0.06560117683584225
User_56,Tesla Model 3,76.87610037599295,New York,2024-01-03 07:00:00,2024-01-03 09:33:00,50.26893407436542,1.6783584198879236,36.303372348344666,38.94193996256931,13.48827068689701,82.69521185847714,133.99209364319893,3.0428293410416227,0.0,DC Fast Charger,Casual Driver,0 days 02:33:00,153.0,0.25452248341548567
User_637,Tesla Model 3,75.0,San Francisco,2024-01-27 12:00:00,2024-01-27 14:45:00,21.86794779138668,3.3833368265812283,29.88406599854634,40.433053782268175,43.8356488045344,61.372029465728886,229.7015932435815,35.01191454749671,2.0,Level 2,Commuter,0 days 02:45:00,165.0,0.2450488108016253
User_214,Nissan Leaf,62.0,Los Angeles,2024-01-09 21:00:00,2024-01-10 00:52:00,6.377874090357831,0.9035194095926008,33.84247374666808,27.80226589384772,46.18102100188867,99.01491659931033,169.11197877085093,-2.96053409263979,2.0,DC Fast Charger,Commuter,0 days 03:52:00,232.0,0.11983735299072294
User_121,Nissan Leaf,85.0,Los Angeles,2024-01-06 00:00:00,2024-01-06 03:25:00,71.18526462073517,1.4256525513794889,10.299799723961698,5.138664199481509,36.884083700047405,73.96777838001219,276.22249249798386,-4.808919737189906,6.0,Level 1,Commuter,0 days 03:25:00,205.0,0.025066654631617117
User_1167,Hyundai Kona,100.0,San Francisco,2024-02-18 14:00:00,2024-02-18 15:29:00,53.36289470151473,3.799819207963679,38.62554559470691,13.611919471082562,33.26665160527895,92.03645412293866,42.13941422454072,29.88019647166928,4.0,Level 2,Commuter,0 days 01:29:00,89.0,0.15294291540542204
User_580,BMW i3,100.0,New York,2024-01-25 03:00:00,2024-01-25 05:41:00,73.31591786048328,2.896990677126205,23.97348713940437,18.38799785653042,18.39015106792008,80.42568669204886,86.38453002432225,17.738683088849037,1.0,Level 2,Casual Driver,0 days 02:41:00,161.0,0.11421116681074794
User_73,Hyundai Kona,85.0,Chicago,2024-01-04 00:00:00,2024-01-04 02:24:00,22.88203842151127,1.5694707135750048,29.98922250219449,10.709582024361996,15.67448546968074,96.59770241767578,98.47402709278698,19.21316448676773,3.0,DC Fast Charger,Commuter,0 days 02:24:00,144.0,0.07437209739140276
User_616,Chevy Bolt,62.0,Chicago,2024-01-26 15:00:00,2024-01-26 17:45:00,74.51050318325304,1.589218757649078,7.994911673203704,29.59671412822717,70.43050310785254,95.65922813290568,298.29967593868054,36.383385462428805,1.0,Level 1,Casual Driver,0 days 02:45:00,165.0,0.1793740250195586
User_46,Tesla Model 3,62.0,Los Angeles,2024-01-02 21:00:00,2024-01-02 22:53:00,46.80719594482398,3.877992452581901,16.91833198373123,10.608875787751984,49.29876550655081,90.97067522699976,210.17109719106028,-0.0390790306437483,1.0,DC Fast Charger,Commuter,0 days 01:53:00,113.0,0.09388385652877862
User_1009,BMW i3,50.0,Houston,2024-02-12 00:00:00,2024-02-12 01:00:00,62.0462303749696,0.9227646505635444,18.562655792808293,37.54757320064963,88.39122579769648,77.93392383324964,43.027865145970566,-0.9664435909539096,5.0,DC Fast Charger,Casual Driver,0 days 01:00:00,60.0,0.6257928866774939
User_524,Chevy Bolt,85.0,Chicago,2024-01-22 19:00:00,2024-01-22 21:20:00,68.55546011969274,0.6207460883241752,6.326355675537149,13.365617634727815,19.1958641680648,69.22304946268947,40.61263817128683,-7.031217903445266,0.9177196405838852,Level 2,Casual Driver,0 days 02:20:00,140.0,0.09546869739091297
User_683,Nissan Leaf,62.0,Los Angeles,2024-01-29 10:00:00,2024-01-29 12:52:00,9.44816711008226,1.465804515944262,40.51570933543204,17.593331704402168,75.62404762261002,93.73758915768624,115.37806159223754,-4.807451278393612,2.8963606640999924,DC Fast Charger,Commuter,0 days 02:52:00,172.0,0.10228681223489633
User_678,Chevy Bolt,75.0,Houston,2024-01-29 05:00:00,2024-01-29 08:50:00,45.47118879513778,2.957746789429136,48.01145593400727,7.388725698983668,56.83137688293154,89.62384238551863,289.7879843555108,26.50442557179917,6.0,Level 1,Commuter,0 days 03:50:00,230.0,0.032124894343407255
User_840,Chevy Bolt,75.0,San Francisco,2024-02-04 23:00:00,2024-02-05 02:39:00,20.026313858630445,1.826933687468276,41.61784215307051,28.408615788605804,20.45340920756221,35.9740790187295,190.8004696386405,25.25712194742985,4.0,Level 2,Commuter,0 days 03:39:00,219.0,0.12971970679728678
User_534,Hyundai Kona,100.0,San Francisco,2024-01-23 05:00:00,2024-01-23 08:07:00,21.069157575738828,3.724054728769408,28.509014979393807,37.40768483305845,37.96677199116324,66.651863202737,222.2882898379178,5.922050897982931,7.0,Level 1,Commuter,0 days 03:07:00,187.0,0.2000410953639489
User_466,Nissan Leaf,85.0,Chicago,2024-01-20 09:00:00,2024-01-20 11:40:00,62.04960065177048,1.1777169888307482,31.374967924079545,35.344789431535474,88.13204445267742,58.35691808891281,205.229616253925,11.034156205320189,5.0,DC Fast Charger,Commuter,0 days 02:40:00,160.0,0.2209049339470967
User_1204,Tesla Model 3,75.0,San Francisco,2024-02-20 03:00:00,2024-02-20 03:50:00,71.8059193887291,3.736266174957047,39.46787878394304,21.00678380055329,49.89930236506439,60.39169483747191,55.97477442025748,-0.8311422705916858,2.0,DC Fast Charger,Casual Driver,0 days 00:50:00,50.0,0.4201356760110658
User_1317,BMW i3,100.0,New York,2024-02-24 20:00:00,2024-02-24 20:44:00,68.18585286511737,3.238212428284869,18.388011513893147,5.06780581979034,31.45637484180004,93.0964613557908,164.3760222940225,34.02977464098818,4.0,Level 2,Casual Driver,0 days 00:44:00,44.0,0.115177404995235
